react,반응하다
probably,아마도
confused,당황한
momentarily,잠깐
term,용어
unique,독특한
usage,사용법
misunderstanding,오해
highlight,강조하다
variety,다양성
due to,~때문에
extensive,광범위한
adoption,차용
individual,개인
demand,수요
critical,중대한
era,시대
be exposed to,~에 노출되다
vast,막대한
consistently,지속적으로
contribute,기여하다
influence,영향
emerge,나타나다
standard,표준
initially,처음에
variation,변화
rather than,~보다는
refer to ~ as,~을 ..라고 부르다
evolve,발달하다
local,지역적인
modification,변경
accurately,정확하게
take place,일어나다
aspect,측면
noticeable,두드러진
coin,만들어 내다
oppsite,반의어
postpone,연기하다
encouragement,격려
direct,직접적인
translation,번역
inject,주입하다
avoid,막다
trap,가두다
incorporate,포함하다
established,확립된
gain currency,통용되다
worldwide,전 세계적인
spread,퍼지다
deepen,깊어지다
accordingly,따라서
opportunity,기회
in this respect,이 점에 있어서
embrace,받아들이다
prejudice,편견
stereotype,고정 관념
solely,오직
dictate,구술하다
document,기록하다
convention,관습
seek,시도하다
informal,구어의
accuse ~ of,~을 ..라는 이유로 비난하다
capture,포착하다
register,기록하다
essential,필수적인
recognize,인정하다
reflect,반영하다
diverse,다양한
advertise,광고하다
